standard_code,requirement_code,description,classification,documentation_required,display_order
AAC.1,AAC.1.a,The organisation uses written guidance for registering and admitting patients. * Commitment Objective Elements,commitment,false,1
AAC.1,AAC.1.b,"Each defined clinical service shall have diagnostic and treatment services with suitably qualified personnel who provide out-patient, in-patient, daycare and emergency cover.",commitment,false,2
AAC.1,AAC.1.c,Scope of the clinical services of each department is defined.,commitment,true,3
AAC.1,AAC.1.d,The organisation’s defined clinical services are prominently displayed.,commitment,false,4
AAC.2,AAC.2.a,Transfer-in of patients to the organisation is done appropriately.* Objective Elements,commitment,false,5
AAC.2,AAC.2.b,A unique identification number is generated at the end of the registration.,core,false,6
AAC.2,AAC.2.c,Patients are accepted only if the organisation can provide the required service.,commitment,false,7
AAC.2,AAC.2.d,The written guidance also addresses managing patients during non availability of beds. * 58 CORE Commitment Achievement Excellence,commitment,false,8
AAC.2,AAC.2.e,Access to the healthcare services in the organisation is prioritised according to the clinical needs of the patient.,achievement,true,9
AAC.3,AAC.3.a,Placeholder for AAC.3.a (OCR missed it),commitment,false,10
AAC.3,AAC.3.b,Transfer- out / referral of patients to another facility is done appropriately.,commitment,true,11
AAC.3,AAC.3.c,"During transfer or referral, accompanying staff are appropriate to the clinical condition of the patient.",commitment,false,12
AAC.3,AAC.3.d,The organisation gives a summary of the patient’s condition and the treatment given.,commitment,false,13
AAC.4,AAC.4.a,"The initial assessment of the out-patients, daycare, in-patients and emergency patients is done in a standardised manner. * Objective Elements",core,false,14
AAC.4,AAC.4.b,The initial assessment is performed by qualified personnel.,commitment,true,15
AAC.4,AAC.4.c,The initial assessment is performed within a time frame based on the needs of the patient. * Commitment,commitment,false,16
AAC.4,AAC.4.d,"Initial assessment of daycare and in-patients includes nursing assessment, which is done at the time of admission and documented.",commitment,false,17
AAC.4,AAC.4.e,The initial assessment for in-patients results in a documented care plan.,commitment,false,18
AAC.4,AAC.4.f,The care plan is countersigned by the clinician in-charge of the patient within 24 hours. 59 CORE CORE Commitment Achievement Excellence,achievement,false,19
AAC.4,AAC.4.g,The care plan includes the identification of special needs regarding care following discharge.,excellence,false,20
AAC.5,AAC.5.a,Placeholder for AAC.5.a (OCR missed it),core,false,21
AAC.5,AAC.5.b,"Out-patients are informed of their next follow-up, where appropriate.",commitment,false,22
AAC.5,AAC.5.c,"For in-patients during re-assessment, the care plan is monitored and modified, where found necessary. Commitment",commitment,false,23
AAC.5,AAC.5.d,Staff involved in direct clinical care document re-assessments.,commitment,false,24
AAC.5,AAC.5.e,The organisation lays down guidelines and implements processes to identify early warning signs of change or deterioration in clinical conditions for initiating prompt intervention.,commitment,true,25
AAC.6,AAC.6.a,Scope of the laboratory services is commensurate to the services provided by the organisation. Objective Elements Commitment,commitment,false,26
AAC.6,AAC.6.b,The infrastructure (physical and equipment) is adequate to provide the defined scope of services. Commitment 60 CORE Commitment Achievement Excellence,commitment,false,27
AAC.6,AAC.6.c,Human resource is adequate to provide the defined scope of services.,commitment,false,28
AAC.6,AAC.6.d,Qualified and trained personnel perform and supervise the investigations and report the results.,commitment,false,29
AAC.6,AAC.6.e,"Requisition for tests, collection, identification, handling, safe transportation, processing and disposal of a specimen is performed according to written guidance. * Commitment",commitment,false,30
AAC.6,AAC.6.f,Laboratory results are available within a defined time frame.,commitment,true,31
AAC.6,AAC.6.g,Critical results are intimated to the person concerned at the earliest.,commitment,true,32
AAC.6,AAC.6.h,Results are reported in a standardised manner.,commitment,false,33
AAC.6,AAC.6.i,There is a mechanism to address the recall / amendment of reports whenever applicable.,achievement,true,34
AAC.6,AAC.6.j,Laboratory tests not available in the organisation are outsourced to the organisation(s) based on their quality assurance system.,commitment,true,35
AAC.7,AAC.7.a,The laboratory quality assurance programme is implemented. * Objective Elements Commitment 61 CORE Commitment Achievement Excellence,commitment,false,36
AAC.7,AAC.7.b,The programme ensures the quality of test results through internal quality control.,commitment,true,37
AAC.7,AAC.7.c,Laboratory participates in proficiency testing / external quality assurance scheme. Commitment,commitment,false,38
AAC.7,AAC.7.d,The programme addresses the clinico-pathological meeting(s).,excellence,false,39
AAC.7,AAC.7.e,The laboratory safety programme is implemented.,commitment,true,40
AAC.7,AAC.7.f,Laboratory personnel are appropriately trained in safe practices.,commitment,false,41
AAC.7,AAC.7.g,Laboratory personnel are provided with appropriate safety measures.,commitment,false,42
AAC.8,AAC.8.a,Imaging services comply with legal and other requirements. Objective Elements,core,false,43
AAC.8,AAC.8.b,Scope of the imaging services is commensurate to the services provided by the organisation. Commitment,commitment,false,44
AAC.8,AAC.8.c,The infrastructure (physical and equipment) and human resources are adequate to provide for its defined scope of services.,commitment,false,45
AAC.8,AAC.8.d,"Qualified and trained personnel perform, supervise and interpret the investigations.",commitment,false,46
AAC.8,AAC.8.e,Imaging results are available within a defined time frame.,commitment,true,47
AAC.8,AAC.8.f,Critical results are intimated immediately to the personnel concerned.,commitment,true,48
AAC.8,AAC.8.g,Results are reported in a standardised manner.,commitment,false,49
AAC.8,AAC.8.h,There is a mechanism to address the recall / amendment of reports whenever applicable. * 62 CORE Commitment Achievement Excellence,achievement,false,50
AAC.8,AAC.8.i,Imaging tests not available in the organisation are outsourced to the organisation(s) based on their quality assurance system.,commitment,false,51
AAC.9,AAC.9.a,The quality assurance programme for imaging services is implemented. * Objective Elements,commitment,false,52
AAC.9,AAC.9.b,A system is in place to ensure the appropriateness of the investigations and procedures for the clinical indication.,achievement,false,53
AAC.9,AAC.9.c,The programme addresses periodic internal / external peer review of imaging results using appropriate sampling. Achievement,achievement,false,54
AAC.9,AAC.9.d,The programme addresses the clinico-radiological meeting(s).,excellence,false,55
AAC.9,AAC.9.e,The programme includes the documentation of corrective and preventive actions. * Commitment,commitment,false,56
AAC.9,AAC.9.f,The radiation-safety programme is implemented.,commitment,true,57
AAC.9,AAC.9.g,Patients are appropriately screened for safety / risk before imaging.,commitment,false,58
AAC.9,AAC.9.h,Imaging personnel and patients use appropriate radiation- safety and monitoring devices where applicable.,commitment,false,59
AAC.9,AAC.9.i,"Radiation-safety and monitoring devices are periodically tested, and results are documented.",commitment,true,60
AAC.9,AAC.9.j,Imaging and ancillary personnel are trained in imaging safety practices and radiation-safety measures. Commitment,commitment,false,61
AAC.9,AAC.9.k,Imaging signage is prominently displayed in all appropriate locations.,commitment,false,62
AAC.10,AAC.10.a,Placeholder for AAC.10.a (OCR missed it),commitment,false,63
AAC.10,AAC.10.b,Patient care is coordinated in all care settings within the organisation. 63 CORE Commitment Achievement Excellence,commitment,false,64
AAC.10,AAC.10.c,"Information about the patient’s care and response to treatment is shared among medical, nursing and other care providers.",commitment,false,65
AAC.10,AAC.10.d,"The organisation implements standardised hand-over communication during each staffing shift, between shifts and during transfers between units / departments.",core,false,66
AAC.10,AAC.10.e,Patient transfer within the organisation is done safely.,commitment,false,67
AAC.10,AAC.10.f,Referral of patients to other departments / specialities follow written guidance.* Commitment,commitment,false,68
AAC.10,AAC.10.g,The organisation ensures predictable service delivery by adhering to defined timelines and informs the patient / family and / or caregiver whenever there is a change in schedule.,achievement,false,69
AAC.10,AAC.10.h,The organisation has a mechanism in place to monitor whether an adequate clinical intervention has taken place in response to a critical value alert. Excellence,excellence,false,70
AAC.11,AAC.11.a,Written guidance governs the implementation of preventive and promotive care as per the scope of services.* Objective Elements,commitment,false,71
AAC.11,AAC.11.b,Organisation shall define evidenced based and contextual age-appropriate screening for non- communicable diseases.,commitment,false,72
AAC.11,AAC.11.c,Mental health screening and appropriate intervention is advised for patients wherever applicable.,commitment,false,73
AAC.11,AAC.11.d,Evidence based and contextual paediatric and adult immunisation shall be advised wherever applicable. Commitment 64 CORE Commitment Achievement Excellence,commitment,false,74
AAC.11,AAC.11.e,A multi-disciplinary approach is adopted in imparting health education on life-style modifications. Commitment,commitment,false,75
AAC.12,AAC.12.a,Placeholder for AAC.12.a (OCR missed it),commitment,false,76
AAC.12,AAC.12.b,The discharge process is coordinated among various departments and agencies involved (including medico-legal and absconded cases).,commitment,true,77
AAC.12,AAC.12.c,Written guidance governs the discharge of patients leaving against medical advice.,commitment,true,78
AAC.12,AAC.12.d,A discharge summary is given to all the patients leaving the organisation including patients leaving against medical advice. Commitment,commitment,false,79
AAC.12,AAC.12.e,The organisation adheres to planned discharge.,achievement,false,80
AAC.12,AAC.12.f,"The care shall be provided by expanding access to health practices through domiciliary visits, wherever applicable.",achievement,false,81
AAC.12,AAC.12.g,"The organisation monitors the discharge time, sets appropriate benchmarks and makes continual improvement. Commitment",commitment,false,82
AAC.13,AAC.13.a,Placeholder for AAC.13.a (OCR missed it),commitment,false,83
AAC.13,AAC.13.b,Discharge summary has a standardised content. 65 CORE Commitment Achievement Excellence,commitment,false,84
AAC.13,AAC.13.c,"Discharge summary contains follow-up advice, medication and other instructions in an understandable manner.",commitment,false,85
AAC.13,AAC.13.d,Discharge summary incorporates instructions about when and how to obtain urgent care. Commitment,commitment,false,86
AAC.13,AAC.13.e,"In case of death, the summary of the case also includes the cause of death.",commitment,false,87
